student_id,gender,leader_flag,support_flag,score,piano_flag
28,1,1,0,261,1
38,0,0,0,291,0
41,0,0,0,241,0
57,0,0,0,290,0
59,0,0,0,327,0
65,0,0,0,421,0
75,0,0,0,273,0
79,0,0,0,367,0
83,0,0,0,413,0
84,0,0,0,212,0
90,0,0,0,220,0
92,0,0,0,383,0
95,0,0,0,337,0
97,0,0,0,350,0
207,1,0,0,277,0
208,0,0,0,386,0
211,1,0,0,355,0
212,1,0,0,241,0
213,1,0,0,255,0
216,0,0,0,390,0
229,1,0,0,257,0
232,1,0,0,288,0
236,1,0,0,264,0
239,0,0,0,344,0
243,1,0,0,222,0
244,0,0,0,319,0
245,1,0,0,251,0
246,1,0,0,89,0
254,1,0,0,359,0
255,1,0,0,266,0
257,1,0,0,355,0
264,0,0,0,440,0
265,1,0,0,267,0
271,1,0,0,277,0
272,1,0,0,233,0
279,0,0,0,310,0
287,1,0,0,254,0
291,1,0,0,407,0
299,0,0,0,390,0
317,1,0,0,356,0
