student_id,gender,leader_flag,support_flag,score,piano_flag
25,0,0,0,275,0
31,0,0,0,261,0
36,0,0,0,326,0
40,0,0,0,317,0
48,0,0,0,245,0
55,1,0,0,332,0
69,0,0,0,256,0
70,0,0,0,206,0
73,0,0,0,352,1
74,0,1,0,439,0
80,1,0,0,233,0
82,1,0,0,247,0
88,0,1,0,123,0
96,1,0,0,300,0
160,1,1,0,266,0
196,0,0,0,321,0
197,0,0,0,216,0
215,0,0,0,310,0
224,1,0,0,432,0
225,1,0,0,266,0
226,1,0,0,342,0
228,0,1,0,283,0
233,0,0,0,224,0
234,1,0,0,308,0
235,0,0,0,273,0
237,1,0,0,485,0
247,1,0,0,306,0
248,0,1,0,205,0
258,1,0,0,289,0
259,0,0,0,399,0
268,0,0,0,355,0
280,1,0,1,299,0
289,1,0,0,320,0
293,1,0,0,388,0
294,1,0,0,296,0
301,1,0,0,364,0
302,1,0,0,277,0
304,1,0,0,278,0
309,0,1,0,274,0
315,1,0,0,309,0
