student_id,gender,leader_flag,support_flag,score,piano_flag
3,0,0,0,350,0
6,0,0,0,390,0
19,0,0,0,437,0
23,0,0,0,342,0
32,0,0,0,309,0
33,0,0,0,295,0
34,1,0,0,292,0
35,0,0,0,397,0
37,1,0,0,283,0
42,1,1,0,380,0
43,1,0,0,340,0
44,1,0,0,341,0
45,0,0,0,276,0
47,1,0,0,291,0
49,1,0,0,352,0
50,0,0,0,267,1
51,1,0,0,189,1
52,1,0,0,337,0
53,0,0,0,379,0
54,0,0,0,264,0
60,1,0,0,315,0
62,1,0,0,334,0
68,1,0,0,385,0
76,1,0,0,231,0
188,1,1,0,306,0
195,0,0,0,321,0
201,0,0,0,296,0
209,0,0,0,337,0
217,0,0,0,260,0
220,1,1,0,373,0
269,0,0,0,249,0
277,1,1,0,257,0
278,1,0,0,354,0
284,0,1,0,320,0
288,0,0,0,310,0
290,0,0,0,332,0
297,0,0,0,243,0
303,1,0,0,320,0
310,1,0,0,323,0
311,1,0,0,292,0
