student_id,gender,leader_flag,support_flag,score,piano_flag
13,0,1,0,218,0
15,1,0,0,347,0
18,0,0,0,335,0
20,0,0,0,200,1
21,0,0,0,361,0
46,0,0,0,336,0
56,0,0,0,275,0
71,0,0,0,88,0
78,0,0,1,278,0
87,0,0,0,215,0
136,1,0,0,391,0
140,1,0,0,378,0
141,1,0,0,287,0
142,1,0,0,314,0
143,1,0,0,287,0
144,1,0,0,237,0
147,1,0,0,341,0
148,1,0,0,217,0
154,1,0,0,299,0
166,1,0,0,304,0
168,1,0,0,160,0
169,1,0,0,235,0
171,1,0,0,278,0
172,1,0,0,346,0
174,0,0,0,320,0
175,1,0,0,163,0
176,1,0,0,366,0
180,0,0,0,98,0
192,0,0,0,325,0
206,1,0,0,399,0
214,1,0,0,273,0
222,0,0,0,376,0
231,0,0,0,375,0
253,0,0,0,329,0
261,0,0,0,389,0
262,0,0,0,245,0
267,1,0,0,404,0
282,0,0,0,271,0
300,0,0,0,240,0
305,0,0,0,276,0
