student_id,gender,leader_flag,support_flag,score,piano_flag
14,0,0,0,260,0
16,0,0,0,358,0
17,0,0,0,291,0
24,1,0,0,303,0
27,1,0,1,268,0
131,1,0,0,313,0
132,1,0,0,335,0
133,1,0,0,323,0
134,0,0,0,269,1
137,0,0,0,228,0
138,0,1,0,190,0
139,1,0,0,382,1
145,0,0,0,406,1
146,0,0,0,374,0
149,0,0,0,282,0
150,1,0,0,344,0
151,0,0,0,325,0
152,0,0,0,240,0
153,0,0,0,336,0
155,0,0,0,308,0
156,1,0,0,354,0
157,1,0,0,244,0
158,0,0,0,362,0
159,0,0,0,354,0
161,0,0,0,327,0
164,0,0,0,239,0
165,1,0,0,213,0
170,1,0,0,246,0
183,1,0,0,350,1
185,1,0,0,233,0
190,1,0,0,247,0
191,1,0,0,288,0
193,1,0,0,393,0
198,1,0,0,377,0
199,0,0,0,186,0
200,0,0,0,385,0
204,1,0,0,337,0
218,0,0,0,334,0
227,1,0,0,287,0
275,1,0,0,365,1
